Px Code,Supply #,Description,Unit Price
272000379,6282,DRL BIT QC MDLR 0.76X6,637.29
272000379,6306,DRL BIT ACL SS QC 2,467.5
272000379,6318,SUT VLC 2-0 GS 21 24IN,21.48
272000379,6362,DRL BIT ART SS 2.5X110,467.5
272000379,6382,DRL BIT SYN SS QC 0.76X10,637.29
272000379,6387,DRL BIT SYN SS QC 1.8X110,656.04
272000379,6407,OCL KOH 6F,609.95
272000379,6422,SUT FBR 4-0 BRD BL 18IN,300
272000379,6434,CLP APR LGM INTNL ENDO 5X13,1388.75
272000379,6443,FCP CGR MNPLR BIP ENTSCP 5X165,972.24
272000379,6449,DRL BIT VRX SS 1.9X105,356.4
272000379,6450,DRL BIT LCP CANN SS QC 4.3X200,1376.8
272000379,6455,NDL BIOP SHR EXCH FN 25GA,1125
272000379,6464,KNIF HKK SUBMUCOSAL 1650X2.8,2334.38
272000379,6471,DRL BIT SYN SS QC 0.76X12,637.29
272000379,6518,DRL BIT SS QC 1.8X80,347.58
272000379,6520,DRL BIT SYN SS QC 4.3X180,528.55
272000379,6556,DRL BIT SRG SS 5X3.5,402
272000379,6558,DRL BIT ART CANN SS 8,924
272000379,6613,DRL BIT SS 2.5,462.83
272000379,6722,SHAFT SCRWDVR 3.0,1125
272000379,6746,MNPLT RM UT BLN TP 6.7X6,329.04
272000379,6805,DRL BIT QC 1.1X75,429.36
272000379,6857,ANCHOR SUT BIO TENODESIS,1072.5
272000379,6863,STPLR EEA XL 25X3.5,1704.05
272000379,6979,DRL BIT T2 TI 4.2X180,590.7
272000379,7008,STPLR CNTR CUT CRV GRN 40X4.7,2024.33
272000379,7033,SLR AQM BIPLR ANG 30D 6.0,2070
272000379,7110,MNPLT RM UT BLN TP 6.7X8,329.04
272000379,7136,KIT ACCESS CATHETER,150.06
272000379,7180,DRL BIT ART SS 1.3,632.5
272000379,7237,CANN PERFUS FEM VEN MULTI KT 2,1812.6
272000379,7259,CANN DUAL LUM BICAV VV 27FR,9400
272000379,7265,CANN PERF AORT NT 14GAX12,189
272000379,7295,CANN PERFUS FEM VEN MULTI KT 2,1812.6
272000379,7297,CANN DUAL LUM BICAV VV 31FR,9400
272000379,7300,QUADROX BIO LINE BEQ HMOD70000,5268
272000379,7322,DRL BIT T2 AO 3.5X130,570.9
272000379,7365,INS HEX 2.5,330
272000379,7542,SCRWDVR SURG QC 2.7/3,660
272000379,7612,KT GLP RTRC LAPSC 120,2025
272000379,7638,VISCOAT 40-30MG/ML 0.5,336
272000379,7669,DRL BIT TFN CANN SS QC 17X300,2264.45
272000379,7732,DRL BIT TFN CANN SS QC 6X100,1876.7
272000379,7794,STYLT LD LCK EZ 65,2550.02
272000379,7870,GW ANKL T2 TEFL 3.2X532,777.15
272000379,7875,DRL BIT TFN CANN SS QC 11X280,1655.75
272000379,7922,DRL BIT SYN SS 2X85,347.58
272000379,7990,DRSG FMSTP HMST,495
272000379,8005,CLMP EXT FX TUBE TO LG,2251.17
272000379,8012,DRL BIT LCP SS QC 6X1,656.04
272000379,8058,SUCT MALLEABLE LG STD TIP,1300.65
272000379,8106,RTRC ALX WND RNG XS 2-4,168
272000379,8142,DRL BIT SYN SS 3.5X180/165,388.5
