Px Code,Supply #,Description,Unit Price
272000379,3409,RTRC ALX WND RNG SM 2.5-6,168
272000379,3410,BLA MDS SW OSCIL,598.95
272000379,3418,BUR MDS DISCT FLUT 14X3,360.36
272000379,3420,BUR MDS RND FLUT 2,384.12
272000379,3452,STPLR ROT 55X3.5,975.04
272000379,3460,STYLT LD LCK LBR 140,2335.5
272000379,3461,KT TRM ARTHSCP SM JNT 2X100,1050
272000379,3473,BUR MDS RND 12X2.5,352.44
272000379,3476,DRL BIT VRT SS 2.4X10-24,959.48
272000379,3478,SKIN CLSR BGL DRM 10,3429
272000379,3482,BUR MDS RND BLL 14X6,392.04
272000379,3484,BSKT ESC ENDO 1.9FX0.63X120,1449.85
272000379,3499,CANN TWS SHLDR PTHRD 6X9,150.06
272000379,3503,KT TRANSTIBIAL ACL,797.5
272000379,3523,CMNT BN PREP SYS VAC MXV MIX,239.4
272000379,3540,FCP BIOP CRDS CARDIAC 7FX50,755.26
272000379,3557,SHTH PRL SPLIT 8FX25,198
272000379,3605,RTRC IRS OPTH NYL HK FLX,416.7
272000379,3616,DRAIN BLAKE HUBLESS TROCAR 19F,507.32
272000379,3695,DRL BIT SYN SS QC 2.5X110,347.58
272000379,3709,DRL BIT CPT TWST 3.8X7,450.73
272000379,3714,DRL BIT TMX CANN SS 5.5,1006.5
272000379,3733,DRL BIT ART CANN SS 8.5,1072.5
272000379,3745,KT BVN TRACH CR PRTX 9X12.3X98,484.06
272000379,3754,SHTH DRYSL FLX 20FX33,1520
272000379,3787,SHTH DRYSL FLX 12FX33,1265
272000379,3789,FIXATOR WRIST EXTERNAL,6234.8
272000379,3798,DRL BIT SYN TI QC 2.8X165,429.36
272000379,3805,TAP BN CANN SS QC 4X110,565.62
272000379,3816,CAPSULE BRAVO PH MONITORING,1094
272000379,3832,DRL BIT SYN CANN SS QC 3.5X160,1744.9
272000379,3835,TAP BN CANN QC 8.0.,1661
272000379,3873,TAP BN CANN SS QC 2.7X100,565.62
